"ID","match_no","team_id","player_id","in_out","time_in_out","play_schedule","play_half"
"44","4.0","1217.0","160376.0","O","80.0","NT","2.0"
"45","4.0","1217.0","160383.0","I","85.0","NT","2.0"
"46","4.0","1217.0","160391.0","O","85.0","NT","2.0"
"47","5.0","1204.0","160090.0","I","87.0","NT","2.0"
"48","5.0","1204.0","160085.0","O","87.0","NT","2.0"
"49","5.0","1204.0","160075.0","I","90.0","NT","2.0"
"50","5.0","1204.0","160086.0","O","90.0","NT","2.0"
"51","5.0","1204.0","160092.0","I","3.0","ST","2.0"
"52","5.0","1204.0","160091.0","O","3.0","ST","2.0"
"53","5.0","1222.0","160502.0","I","46.0","NT","2.0"
"54","5.0","1222.0","160498.0","O","46.0","NT","2.0"
"55","5.0","1222.0","160504.0","I","65.0","NT","2.0"
"56","5.0","1222.0","160494.0","O","65.0","NT","2.0"
"57","5.0","1222.0","160506.0","I","69.0","NT","2.0"
"58","5.0","1222.0","160505.0","O","69.0","NT","2.0"
"59","6.0","1212.0","160266.0","I","46.0","NT","2.0"
"60","6.0","1212.0","160265.0","O","46.0","NT","2.0"
"61","6.0","1212.0","160276.0","I","66.0","NT","2.0"
"62","6.0","1212.0","160269.0","O","66.0","NT","2.0"
"63","6.0","1212.0","160272.0","I","76.0","NT","2.0"
"64","6.0","1212.0","160257.0","O","76.0","NT","2.0"
"65","6.0","1213.0","160289.0","I","78.0","NT","2.0"
"66","6.0","1213.0","160293.0","O","78.0","NT","2.0"
"67","6.0","1213.0","160288.0","I","80.0","NT","2.0"
"68","6.0","1213.0","160287.0","O","80.0","NT","2.0"
"69","6.0","1213.0","160294.0","I","88.0","NT","2.0"
"70","6.0","1213.0","160290.0","O","88.0","NT","2.0"
"71","7.0","1208.0","160179.0","I","78.0","NT","2.0"
"72","7.0","1208.0","160173.0","O","78.0","NT","2.0"
"73","7.0","1208.0","160180.0","I","90.0","NT","2.0"
"74","7.0","1208.0","160174.0","O","90.0","NT","2.0"
"75","7.0","1223.0","160528.0","I","66.0","NT","2.0"
"76","7.0","1223.0","160529.0","O","66.0","NT","2.0"
"77","7.0","1223.0","160526.0","I","73.0","NT","2.0"
"78","7.0","1223.0","160519.0","O","73.0","NT","2.0"
"79","8.0","1205.0","160113.0","I","75.0","NT","2.0"
"80","8.0","1205.0","160114.0","O","75.0","NT","2.0"
"81","8.0","1205.0","160112.0","I","86.0","NT","2.0"
"82","8.0","1205.0","160096.0","O","86.0","NT","2.0"
"83","8.0","1205.0","160107.0","I","88.0","NT","2.0"
"84","8.0","1205.0","160110.0","O","88.0","NT","2.0"
"85","8.0","1219.0","160433.0","I","62.0","NT","2.0"
"86","8.0","1219.0","160435.0","O","62.0","NT","2.0"
"87","8.0","1219.0","160432.0","I","70.0","NT","2.0"
"88","8.0","1219.0","160428.0","O","70.0","NT","2.0"
"89","8.0","1219.0","160437.0","I","82.0","NT","2.0"
"90","8.0","1219.0","160436.0","O","82.0","NT","2.0"
"91","9.0","1215.0","160337.0","I","64.0","NT","2.0"
"92","9.0","1215.0","160345.0","O","64.0","NT","2.0"
"93","9.0","1215.0","160342.0","I","78.0","NT","2.0"
"94","9.0","1215.0","160335.0","O","78.0","NT","2.0"
"95","9.0","1215.0","160338.0","I","85.0","NT","2.0"
"96","9.0","1215.0","160336.0","O","85.0","NT","2.0"
"97","9.0","1220.0","160444.0","I","45.0","NT","1.0"
"98","9.0","1220.0","160446.0","O","45.0","NT","1.0"
"99","9.0","1220.0","160458.0","I","59.0","NT","2.0"
"100","9.0","1220.0","160457.0","O","59.0","NT","2.0"
