"ID","player_id","team_id","jersey_no","player_name","posi_to_play","dt_of_bir","age","playing_club"
"28","160028.0","1202.0","5.0","Christian Fuchs","DF","1986-04-07 00:00:00","30.0","Leicester"
"29","160038.0","1202.0","6.0","Stefan Ilsanker","MF","1989-05-18 00:00:00","27.0","Leipzig"
"30","160043.0","1202.0","7.0","Marko Arnautovic","FD","1989-04-19 00:00:00","27.0","Stoke"
"31","160034.0","1202.0","8.0","David Alaba","MF","1992-06-24 00:00:00","23.0","Bayern"
"32","160046.0","1202.0","9.0","Rubin Okotie","FD","1987-06-06 00:00:00","29.0","1860 Munchen"
"33","160040.0","1202.0","10.0","Zlatko Junuzovic","MF","1987-09-26 00:00:00","28.0","Bremen"
"34","160037.0","1202.0","11.0","Martin Harnik","MF","1987-06-10 00:00:00","29.0","Stuttgart"
"35","160025.0","1202.0","12.0","Heinz Lindner","GK","1990-07-17 00:00:00","25.0","Frankfurt"
"36","160032.0","1202.0","13.0","Markus Suttner","DF","1987-04-16 00:00:00","29.0","Ingolstadt"
"37","160035.0","1202.0","14.0","Julian Baumgartlinger","MF","1988-01-02 00:00:00","28.0","Mainz"
"38","160031.0","1202.0","15.0","Sebastian Prodl","DF","1987-06-21 00:00:00","28.0","Watford"
"39","160033.0","1202.0","16.0","Kevin Wimmer","DF","1992-11-15 00:00:00","23.0","Tottenham"
"40","160030.0","1202.0","17.0","Florian Klein","DF","1986-11-17 00:00:00","29.0","Stuttgart"
